省份,执行月份,用电类别,电压等级,平段电价(元),高峰电价(元),低谷电价(元),尖峰电价(元),深谷电价(元),尖峰时段,高峰时段,平时段,低谷时段,深谷时段,特殊规则备注
北京,2025年1月,工商业两部制,1-10千伏,0.65179175,0.88935775,0.41422575,1.01605975,无,18:00-21:00,10:00-13:00、17:00-18:00、21:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,1月执行冬季尖峰电价规则
北京,2025年2月,工商业两部制,1-10千伏,0.65294275,0.88707675,0.41880875,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年3月,工商业两部制,1-10千伏,0.65359075,0.89218975,0.41499175,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年4月,工商业两部制,1-10千伏,0.66021175,0.90057475,0.41984875,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年5月,工商业两部制,1-10千伏,0.64954975,0.88731275,0.41178675,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年6月,工商业两部制,1-10千伏,0.64417675,0.88410775,0.40424575,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年7月,工商业两部制,1-10千伏,0.64766575,0.89150475,0.40382675,1.02155175,无,11:00-13:00、16:00-17:00,10:00-11:00、17:00-22:00,7:00-10:00、13:00-16:00、22:00-23:00,23:00-次日7:00,无,7月执行夏季尖峰电价规则
北京,2025年8月,工商业两部制,1-10千伏,0.64896975,0.89170775,0.40623175,1.02116775,无,11:00-13:00、16:00-17:00,10:00-11:00、17:00-22:00,7:00-10:00、13:00-16:00、22:00-23:00,23:00-次日7:00,无,8月执行夏季尖峰电价规则
北京,2025年9月,工商业两部制,1-10千伏,0.65582075,0.89649575,0.41514575,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
北京,2025年10月,工商业两部制,1-10千伏,0.65319875,0.89104075,0.41535675,无,无,无,10:00-13:00、17:00-22:00,7:00-10:00、13:00-17:00、22:00-23:00,23:00-次日7:00,无,无
