iter	RMSE
0	6190151.28
1	5759989.106
2	5378980.079
3	5094689.663
4	4855861.083
5	4655540.59
6	4487999.989
7	4353816.218
8	4202170.028
9	4093703.586
10	4008011.317
11	3940566.728
12	3867964.986
13	3810318.153
14	3756896.121
15	3722279.74
16	3689391.995
17	3651222.535
18	3619489.66
19	3596318.228
20	3573356.641
21	3550532.984
22	3527686.204
23	3505619.529
24	3485923.902
25	3469504.743
26	3458086.16
27	3446743.681
28	3432789.678
29	3417830.571
30	3410905.995
31	3402112.421
32	3396701.254
33	3386729.882
34	3377363.805
35	3370476.475
36	3363376.721
37	3355562.839
38	3344979.867
39	3340417.143
40	3333978.661
41	3328530.061
42	3321158.374
43	3316474.868
44	3310881.612
45	3306675.77
46	3297510.503
47	3293425.733
48	3285579.969
49	3281950.22
50	3277913.837
51	3273593.243
52	3269547.793
53	3262342.986
54	3260500.353
55	3257503.842
56	3251171.558
57	3246921.21
58	3243838.554
59	3241609.713
60	3237953.639
61	3233325.954
62	3227240.694
63	3223883.494
64	3221345.236
65	3218763.99
66	3216623.72
67	3214682.414
68	3211634.574
69	3208465.591
70	3205960.234
71	3203640.673
72	3201826.432
73	3198734.133
74	3194832.005
75	3191037.134
76	3187198.055
77	3185273.539
78	3182215.629
79	3179495.398
80	3176820.866
81	3172954.489
82	3168814.283
83	3166416.33
84	3164672.706
85	3163188.711
86	3159881.034
87	3156635.166
88	3154717.844
89	3153180.972
90	3151047.69
91	3146349.781
92	3144907.577
93	3142381.197
94	3139773.758
95	3137658.265
96	3135621.748
97	3132015.043
98	3129448.19
99	3126859.793
100	3124671.492
101	3122158.826
102	3120184.393
103	3118501.323
104	3115623.019
105	3113150.952
106	3111556.806
107	3109611.854
108	3107821.938
109	3106262.134
110	3104812.527
111	3103400.426
112	3101961.134
113	3100487.275
114	3098953.713
115	3096953.969
116	3095071.271
117	3093276.477
118	3092258.847
119	3090682.741
120	3089041.459
121	3085443.413
122	3083028.425
123	3080635.726
124	3075124.241
125	3073502.41
126	3071314.619
127	3069895.393
128	3066331.908
129	3064116.441
130	3062758.685
131	3060742.191
132	3055891.519
133	3052064.624
134	3050857.98
135	3049845.787
136	3046906.834
137	3043384.399
138	3041206.399
139	3040141.795
140	3039258.344
141	3037727.217
142	3034073.059
143	3031418.95
144	3029805.6
145	3028800.541
146	3026933.931
147	3023856.401
148	3022499.962
149	3021351.308
150	3018994.656
151	3018148.507
152	3016556.766
153	3013575.182
154	3012537.436
155	3010532.96
156	3009527.165
157	3008234.4
158	3006750.441
159	3005781.98
160	3004486.609
161	3003588.747
162	3002637.466
163	3001500.045
164	3000599.389
165	2999240.133
166	2998579.886
167	2995918.145
168	2993591.995
169	2992240.403
170	2991061.1
171	2989561.189
172	2988165.998
173	2986171.672
174	2983387.851
175	2981700.666
176	2979635.72
177	2978107.675
178	2976763.672
179	2974552.23
180	2971647.402
181	2970833.541
182	2968887.964
183	2967974.588
184	2966866.373
185	2965535.7
186	2962953.657
187	2960549.026
188	2959671.453
189	2957693.572
190	2956265.404
191	2954608.662
192	2953104.914
193	2951569.314
194	2949827.315
195	2948866.288
196	2947425.253
197	2946651.902
198	2945988.408
199	2945304.283
200	2943421.376
201	2941375.53
202	2940131.501
203	2938730.806
204	2936831.042
205	2935834.383
206	2934662.59
207	2933068.647
208	2931511.148
209	2930679.292
210	2929271.549
211	2927367.351
212	2926228.645
213	2924940.555
214	2924020.748
215	2922801.545
216	2921661.91
217	2919751.781
218	2918158.645
219	2916627.967
220	2915438.456
221	2914477.647
222	2912938.371
223	2910204.684
224	2909273.945
225	2906806.879
226	2904162.567
227	2902772.379
228	2901403.183
229	2900900.684
230	2899645.73
231	2897939.144
232	2896774.902
233	2895423.986
234	2893787.511
235	2892214.149
236	2891563.533
237	2890001.951
238	2888378.932
239	2887711.324
240	2886854.136
241	2886418.005
242	2884867.459
243	2883540.951
244	2882655.725
245	2881767.175
246	2880002.049
247	2878098.138
248	2876147.31
249	2875194.709
250	2873385.183
251	2872857.973
252	2870000.153
253	2869092.95
254	2866878.427
255	2865373.023
256	2863996.962
257	2863271.442
258	2862756.38
259	2860876.334
260	2859470.04
261	2858530.6
262	2857176.763
263	2855989.53
264	2854473.204
265	2853743.285
266	2852277.153
267	2851447.135
268	2850296.85
269	2848222.541
270	2846862.523
271	2845575.281
272	2844641.207
273	2843882.08
274	2843436.835
275	2842878.139
276	2842022.371
277	2840593.408
278	2839552.309
279	2838233.722
280	2836859.836
281	2835505.479
282	2834884.391
283	2833228.237
284	2832267.752
285	2831216.274
286	2830665.391
287	2829565.673
288	2827730.035
289	2825697.89
290	2824912.354
291	2823003.669
292	2821782.963
293	2821241.806
294	2819067.059
295	2818604.21
296	2817548.828
297	2816350.245
298	2815472.725
299	2814452.279
