iter	Passed	Remaining
0	145	43481
1	146	21888
2	148	14685
3	149	11084
4	151	8922
5	152	7481
6	154	6449
7	155	5673
8	156	5070
9	158	4587
10	159	4191
11	160	3861
12	162	3582
13	163	3341
14	164	3134
15	166	2953
16	167	2791
17	169	2649
18	170	2523
19	172	2408
20	173	2303
21	174	2207
22	176	2120
23	177	2040
24	178	1967
25	180	1898
26	181	1835
27	182	1776
28	184	1722
29	185	1673
30	187	1625
31	188	1580
32	190	1538
33	191	1499
34	192	1461
35	194	1425
36	195	1391
37	197	1359
38	198	1330
39	200	1303
40	202	1277
41	203	1251
42	205	1226
43	206	1202
44	208	1179
45	209	1157
46	211	1136
47	212	1116
48	214	1097
49	215	1079
50	217	1060
51	218	1043
52	220	1026
53	222	1011
54	223	995
55	224	979
56	226	965
57	228	951
58	229	937
59	230	923
60	232	910
61	233	897
62	235	885
63	236	873
64	238	861
65	239	849
66	240	837
67	242	826
68	243	815
69	245	805
70	246	795
71	248	785
72	249	775
73	250	766
74	252	756
75	253	747
76	254	738
77	256	729
78	257	720
79	259	712
80	260	704
81	262	696
82	263	689
83	264	681
84	266	673
85	267	666
86	269	658
87	270	651
88	271	644
89	273	637
90	274	631
91	276	624
92	277	618
93	279	611
94	280	605
95	281	599
96	283	593
97	284	586
98	286	580
99	287	574
100	288	569
101	290	563
102	291	557
103	292	552
104	294	546
105	295	541
106	297	535
107	298	530
108	299	525
109	301	520
110	302	515
111	304	510
112	305	505
113	307	500
114	308	496
115	309	491
116	311	486
117	312	482
118	314	477
119	315	473
120	316	468
121	318	464
122	319	460
123	321	456
124	322	451
125	324	447
126	325	443
127	326	439
128	328	435
129	329	431
130	330	426
131	332	422
132	333	418
133	335	415
134	336	411
135	338	407
136	339	403
137	341	400
138	342	396
139	344	393
140	345	389
141	347	386
142	348	382
143	349	378
144	351	375
145	352	372
146	354	368
147	355	365
148	356	361
149	358	358
150	359	354
151	360	351
152	362	348
153	363	344
154	365	341
155	366	338
156	367	335
157	369	331
158	370	328
159	372	325
160	373	322
161	374	319
162	376	316
163	377	313
164	378	310
165	380	307
166	381	304
167	383	301
168	384	298
169	386	295
170	387	292
171	389	289
172	390	286
173	392	283
174	393	280
175	394	278
176	396	275
177	397	272
178	399	269
179	400	267
180	401	264
181	403	261
182	404	258
183	406	255
184	407	253
185	408	250
186	410	247
187	411	245
188	412	242
189	414	239
190	415	237
191	417	234
192	418	232
193	420	229
194	421	227
195	422	224
196	424	221
197	425	219
198	427	216
199	428	214
200	430	211
201	431	209
202	432	206
203	434	204
204	435	201
205	437	199
206	438	196
207	439	194
208	441	192
209	443	189
210	444	187
211	445	185
212	447	182
213	448	180
214	450	177
215	451	175
216	452	173
217	454	170
218	455	168
219	457	166
220	459	164
221	460	161
222	461	159
223	463	157
224	464	154
225	466	152
226	467	150
227	469	148
228	470	145
229	472	143
230	473	141
231	475	139
232	476	137
233	478	134
234	479	132
235	481	130
236	482	128
237	483	126
238	485	123
239	487	121
240	488	119
241	490	117
242	491	115
243	493	113
244	494	111
245	496	109
246	497	106
247	499	104
248	501	102
249	502	100
250	504	98
251	505	96
252	507	94
253	508	92
254	510	90
255	511	87
256	513	85
257	514	83
258	516	81
259	518	79
260	519	77
261	521	75
262	522	73
263	523	71
264	525	69
265	526	67
266	528	65
267	529	63
268	531	61
269	532	59
270	534	57
271	536	55
272	537	53
273	539	51
274	541	49
275	542	47
276	544	45
277	545	43
278	547	41
279	548	39
280	550	37
281	551	35
282	553	33
283	554	31
284	556	29
285	557	27
286	559	25
287	560	23
288	562	21
289	563	19
290	565	17
291	567	15
292	569	13
293	570	11
294	572	9
295	574	7
296	576	5
297	577	3
298	579	1
299	580	0
